"SampleID","avg_NPOC","avg_TN","SRP_uM","SRP_mgL","Q..L.s.","Date","Site","month_year","Low","Moderate","High","pct_burned","Moderate_High","Fluoride_mgL","Chloride_mgL","Sulfate_mgL","Bromide_mgL","NitrateN_mgL","time_since","biome_type","ignition_date","burn_period","mean_slope","mean_elev_m","max_elev_m","area_km2","biome_pca"
"R170",9.5125,0.2802,1.618991237,0.05014015860989,2.01644537584161,"2025-02-20","james","02.25",NA,NA,NA,0,0,0.22525,6.87156666666667,3.38078333333333,0.2194,0.00753333333333333,40,"montane","1984-01-01","older_burn",22.7037605957254,1913.86555629113,2356.841796875,2.79589455085654,"forest"
"R171",3.13266666666667,1.78866666666667,0.3958669133,0.012259998304901,166.431992,"2025-02-16","waterman","02.25",NA,NA,NA,0.871002977673382,0.871002977673382,0.231433333333333,17.5694666666667,47.3504,0.545866666666667,2.6005,40,"montane","2021-06-28","older_burn",28.8683821156106,1115.11212513953,1656.54125976562,12.1127842135168,"forest"
"R172",1.03166666666667,0.2067,0.108,0.006555965857742,28.562745745283,"2025-02-20","forsee","02.25",39.679,26.075,6.181,71.936,32.256,0.310766666666667,1.53573333333333,7.41346666666667,0.0169666666666667,0.238966666666667,4.32602739726027,"montane","2020-09-05","older_burn",27.9093817190858,2705.76148000147,3306.95288085938,7.34443331193299,"forest"
"R173",2.04833333333333,0.126366666666667,0.408917934,0.01266418841598,NA,"2025-02-22","mission","02.25.2",28.249,42.815,9.139,80.203,51.954,0.580666666666667,68.8903333333333,304.168333333333,0.00666666666666667,0.0012,15.6712328767123,"montane","2009-05-05","older_burn",28.0878714020364,703.298697305995,1212.54736328125,7.20969917780069,"forest"
"R174",9.616,1.9465,2.802010297,0.08677825889809,NA,"2025-03-14","topanga","03.25",1.053,4.912,12.383,18.348,17.295,0.659,94.7256666666667,545.415666666667,0.0253333333333333,0.681666666666667,0,"coastal","2025-01-07","24_25_burn",20.8357508266998,400.483672728162,783.474243164062,50.4848922517578,"shrub_grass"
"R175",0.00815,0.05916,0.43985466,0.0136222988202,5.08649077538366,"2025-02-20","barton","02.25",20.066,28.683,11.698,60.447,40.381,0.077025,1.3566,7.2999,0.007,0.0207,9.55068493150685,"montane","2015-06-17","older_burn",21.4187760436838,2445.14413613619,3258.99633789062,15.2806179685012,"forest"
"R176",8.547,1.3395,7.442575086,0.23049655041342,1.61876241613147,"2025-03-14","zuma","03.25",34.924,51.234,2.57,88.728,53.804,0.6375,141.208,269.6985,0.071,3.011,6.15342465753425,"coastal","2018-11-08","older_burn",17.3339885283703,556.576800683364,762.265441894531,6.9238961530314,"shrub_grass"
"R177",1.63933333333333,0.391533333333333,0.108,0.003743971429625,70.154872,"2025-03-15","coldwater","03.25",22.794,33.667,34.24,90.701,67.907,0.123766666666667,6.31796666666667,54.5362,0.00275,0.726633333333333,6.41095890410959,"coastal","2018-08-06","older_burn",34.1915768958545,980.60266352364,1726.5478515625,10.9421685770979,"shrub_grass"
"R178",1.472,0.11035,0.3061273895,0.009480765252815,11.7559446253837,"2025-02-22","rattlesnake","02.25.2",2.92,6.885,0.907,10.712,7.792,0.334,12.9413333333333,266.557666666667,0.018,0.0012,7.08219178082192,"montane","2017-12-04","older_burn",27.9024849232792,759.33052983751,1165.15161132812,5.71179017209921,"forest"
"R179",7.25,2.26566666666667,3.164989407,0.09801972193479,NA,"2025-03-15","trabuco","03.25",6.275,25.565,31.919,63.76,57.484,0.134933333333333,12.0395666666667,187.3742,0.0309,2.3419,0.312328767123288,"coastal","2024-09-09","24_25_burn",31.1954690471713,946.396940826099,1730.82702636719,35.3994303955824,"shrub_grass"
